Jungle - House In LA	
Jack Wall - Vigil	
Phace - Basic Memory (Mefjus Remix)	
London Elektricity - USKA	
Edward Rizo – Hypothermia	
Puscifer – Dear Brother	
M.I.A. – Paper Planes (DFA Remix)	
Freedom Fighters, Ivort – Creature from the Lost World (Original Mix)	
No Concept - Autonomy (Original Mix)	
Sleepy Fish - Metro Lines	
FC Kahuna - Hayling	
Yoshihisa Hirano, Hideki Taniuchi and Various - Sinigami Kai	
melodysheep - A Sound from the Void	
Freeland - We Want Your Soul	Freeland – We Want Your Soul
Savlonic - Angles	Savlonic – Angles
Axel Thesleff - Eco (CloZee Remix)	
Avalon, Mad Tribe - World of Tomorrow (Original Mix)	
Sony Computer Entertainment - PS2 System Menu	
Koji Kondo - Steam Gardens	
Boom Boom Satellites - On The Painted Desert	
BT - Smartbomb	
Jeremy Blake - Cerulean Drip	
Lorn – Diamond	
Lazy Rich, Felguk - Dance To The Beat (Extended Mix)	
Above & Beyond feat. Alex Vargas - Blue Sky Action (Extended Radio Mix)	
Infected Mushroom - Walking on the Moon (Bad Computer Remix)	
FWLR - Hot (Original Mix)	
Tennyson - 7:00 AM	
Years & Years - Real (J.A.C.K Remix)	
Wolfgun - To The Horizon	
Boom Boom Satellites - Flutter	
Unseen Dimensions & DMA – Silent	
Lunatic Soul - Rinsing The Night	
Technikore - All Night (Extended Mix)	
Above & Beyond – We’re All We Need feat. Zoe Johnston	
Four Tet - 4T Recordings (Original Mix)	
SWACQ - No Strings Attached (Extended Mix)	
Zammuto – Great Equator	
Bitmonx, Fabio – Erdbeer Kiwi (Captain Hook & DJ Wasabi Remix)	
Roberto Surace - Joys (Jonas Blue Extended Remix)	
Jeremy Blake – Scope	
Itai, Roderic - Metamorphosis (Original Mix)	
Mr. Rogers - I'll Take You (Jenaux Remix)	Mr. Rogers – I’ll Take You (Jenaux Remix)
Klippa - Arcadepunk	
Lemaitre - Cut to Black	
bignic – Modern Pentathalon	
Professor Elemental - Good Morning feat. Nick Maxwell	
Le Couleur - Vacances de 87 (Carpenter Brut Remix) (feat. French Horn Rebellion)	
Louis Vivet - Silvia (Mielo Remix)	Louis Vivet – Silvia (Mielo Remix)
Kyan - Like Summer	
Suntree - High Vibration (Original Mix)	
Doug Hammer – glorious	
Bombs Away – Swagger (Rocket Pimp Remix)	Bombs Away - Swagger (Rocket Pimp Remix)
Cheap Cuts - Check Your Phone (feat. Pete Wentz)	
